PWEIGHT,PATTCRLM,PEFATINC,PEXMG1A,PWARRIF,
1236.9757,26000,96150,99996,0,
1165.1021,1050,6250,99996,0,
1150.6988,24000,106175,650,0,
2493.5992,3000,20625,99996,0,
3431.976,13000,48950,99996,0,
1130.5976,62500,114400,375,0,
784.9284,95000,757200,99996,0,
2063.7812,33000,60650,99996,0,
1032.3083,13000,81650,99996,12500,
1687.8292,5000,19225,99996,0,
955.7946,35000,131400,2600,0,
3517.504,550,101825,99996,0,
567.0818,6250,21900,99996,0,
609.6119,24000,44250,99996,47000,
636.1984,10500,35075,99996,0,
2993.4816,77500,75600,625,0,
1989.9275,5000,35875,99996,4200,
673.0338,8250,99425,99996,0,
2115.4724,5000,67975,1150,0,
1204.2354,31000,29950,1600,0,
84.5721,8000,20900,99996,0,
1896.5133,40000,96650,1100,0,
95.0469,8750,45750,99996,0,
1001.7125,999996,41250,99996,0,
247.5206,33000,176450,99996,0,
419.7856,22000,119475,400,0,
640.4945,47500,126475,425,0,
337.5898,13000,37650,99996,0,
1152.5598,22000,38650,99996,0,
768.7985,15000,105375,99996,0,
314.9427,47500,31275,99996,0,
1745.0176,4000,35450,99996,9000,
336.928,2300,28425,99996,0,
2641.422,31000,34500,2100,0,
343.1162,50000,66675,625,0,
414.4785,575,37000,99996,70000,
549.853,39000,112000,99996,0,
1377.9345,5000,72375,99996,0,
165.2771,17500,190075,99996,10500,
1032.3083,52500,81400,99996,2500,
146.9064,25000,92000,99996,0,
1835.0388,9500,18750,99996,0,
753.954,35000,227400,99996,0,
2700.7449,2100,47625,99996,0,
1680.8619,19000,48425,250,0,
1032.3083,10000,93325,99996,90000,
719.6544,22000,54725,250,0,
1088.9522,25000,78400,99996,0,
1339.468,6500,137100,850,0,
411.986,9500,125325,525,0,
680.0863,275,40500,99996,0,
895.1417,25000,82550,99996,115000,
923.1146,3400,42750,1300,0,
2506.9044,15500,99125,1050,0,
810.0365,19000,140800,99996,0,
1053.0131,32000,66375,99996,0,
557.9719,46000,216150,99996,0,
1760.1001,15500,63050,275,0,
1180.1379,25000,77950,99996,87500,
1621.8631,25000,73375,1050,0,
919.1776,105000,100600,850,0,
328.5636,9000,96100,825,0,
862.3101,60000,187125,99996,0,
1145.4177,999996,5750,99996,0,
1357.6112,13500,22850,99996,0,
111.7974,20000,84175,550,0,
467.5538,67500,84600,99996,150000,
1639.7758,2100,4300,99996,0,
784.7154,14500,70825,99996,125000,
407.9346,3900,34000,99996,0,
893.6156,1900,80075,99996,0,
1590.2287,31000,159300,1500,0,
1598.1297,6750,33000,600,0,
550.0402,1900,46700,99996,2000,
1296.8415,999996,19225,99996,0,
1518.6896,2000,86000,99996,0,
1334.9543,9000,37500,99996,0,
886.1882,40000,163925,99996,0,
389.7848,12000,57225,99996,30000,
1154.3795,999996,17000,99996,0,
1355.5988,2100,21400,99996,0,
469.8981,29000,117950,600,0,
178.8412,25000,1131100,1500,0,
253.7455,75000,158250,275,0,
1187.6772,50000,203025,1350,0,
5532.3598,999996,24175,99996,0,
617.9525,47500,30900,175,0,
384.5556,14500,268600,1800,0,
858.2846,47500,165950,475,0,
608.8421,60000,162000,99996,0,
991.4602,3400,44000,475,105000,
964.2037,999996,16500,99996,0,
1694.2426,9250,78425,200,0,
7127.1139,1000,3750,99996,0,
986.8134,8000,22575,99996,0,
835.1303,10000,2700,99996,0,
547.9725,999996,61400,200,0,
887.7798,5000,63425,99996,0,
1780.5463,36000,124600,575,0,
1345.3434,60000,119150,575,0,
613.0641,10500,87025,99996,170000,
1029.9955,6000,46450,99996,0,
2860.8726,2000,30425,99996,0,
641.6374,999996,79325,99996,0,
1428.8137,475,12500,99996,0,
735.8762,475,22550,225,0,
854.8523,999996,24325,99996,0,
620.823,999996,46550,99996,0,
1578.2153,1000,106275,475,0,
2543.5484,14500,62950,80,0,
865.0588,14500,144675,550,0,
2035.8377,25000,78775,99996,0,
772.6045,62500,67800,99996,30000,
766.3577,100000,806450,99996,0,
504.4755,14500,131450,1250,0,
3835.7321,12000,131450,99996,0,
405.9483,60000,78375,99996,0,
193.5283,20000,73400,450,0,
626.6906,40000,128525,99996,0,
977.9668,10000,49750,99996,0,
527.689,7500,49900,99996,0,
324.4277,31000,61400,99996,20000,
629.0822,999996,17500,99996,0,
