PATTCRLM,PDWTYP,PEFATINC,PFSZ1824,PFSZ2544,PFSZ4564,PFSZ65UP,PPVRES,PWARRIF,PWNETWPG,
14500,1,55975,2,2,2,1,35,0,500500,
36000,1,168575,2,1,1,2,10,0,277100,
90000,1,54650,2,2,1,1,59,0,3339000,
425,3,18000,2,2,2,1,24,0,13000,
20000,3,456575,2,2,1,1,35,0,3085500,
5500,3,23250,2,1,2,2,35,0,19025,
29000,1,74925,2,2,2,1,48,40000,697500,
999996,2,14100,1,2,2,2,59,0,8050,
16000,1,29975,2,2,2,1,59,0,22450,
8000,1,43950,2,2,2,1,35,90000,738000,
24000,1,81475,2,1,2,2,24,0,226250,
48000,1,55000,2,2,1,1,12,0,358750,
30000,1,115225,2,2,1,2,10,0,2230500,
7750,1,29600,2,1,1,2,59,0,952550,
8500,1,176800,1,2,1,2,48,0,591600,
29000,2,105450,1,2,1,2,59,0,130000,
10000,1,114725,2,1,2,2,59,0,1053000,
20000,3,28625,2,2,1,2,24,0,46750,
9250,1,9150,2,2,1,2,35,0,394650,
5250,1,43525,2,2,2,1,46,0,550500,
4100,3,82900,9,9,9,9,59,0,936000,
1000,9,7150,2,1,1,2,13,0,545,
25000,1,139625,2,1,2,2,24,0,947800,
19000,1,34525,1,1,1,2,12,0,177000,
60000,1,80175,2,2,1,2,35,0,141000,
34000,1,130075,2,1,1,2,47,0,2105500,
38000,1,98425,2,2,1,2,12,0,1503025,
25000,1,210750,2,2,1,2,24,0,1768500,
40000,1,46825,2,2,2,1,59,20000,546250,
1000,3,19500,1,2,2,2,46,0,44850,
6250,1,45850,1,1,2,2,13,0,46525,
2600,1,23700,2,2,2,1,46,0,151000,
10000,1,38375,2,2,1,2,48,0,174500,
46000,2,127350,2,1,1,2,24,0,2010500,
95000,3,210025,2,1,1,2,48,0,662000,
999996,3,26000,2,1,1,2,24,0,22000,
57500,1,89200,2,1,2,2,48,0,555750,
18000,3,51750,2,2,2,1,35,300000,686000,
7500,1,73600,2,2,2,1,35,0,676750,
22000,2,68150,2,2,1,1,35,0,1293500,
87500,2,93500,2,2,1,2,35,0,236550,
15500,3,57075,2,1,2,2,35,0,422600,
999996,9,21475,2,2,2,1,48,0,13600,
8000,1,136650,1,2,1,2,47,0,1900575,
14500,1,129600,2,1,1,2,13,0,1538250,
2500,3,54700,2,1,2,2,35,0,50950,
50000,2,123325,1,2,1,2,35,0,3244000,
999996,1,17500,2,2,2,1,10,0,239200,
60000,1,180750,2,1,2,2,35,0,547500,
30000,1,70325,1,2,1,2,48,0,1135225,
17000,1,124500,1,2,1,2,48,0,2649150,
10500,1,100875,2,2,2,1,24,90000,1253000,
30000,1,122225,2,1,1,1,35,0,2901550,
110000,1,172075,1,2,1,2,47,0,1786500,
35000,1,152050,1,1,1,2,10,0,424525,
90000,1,203925,2,1,1,2,46,0,1018850,
19000,1,63425,2,2,2,1,35,0,797000,
999996,2,12500,2,2,1,2,13,0,31350,
3000,1,69825,2,1,1,2,35,0,514575,
8750,1,106800,2,1,2,2,48,0,28325,
30000,1,63825,2,1,2,2,35,0,343750,
18000,1,28575,2,2,2,1,35,115000,941800,
999996,4,26200,2,2,1,2,48,0,362020,
7750,1,31200,2,2,2,1,35,0,396500,
14000,3,69225,2,1,2,2,24,0,77350,
7000,1,21075,2,2,1,2,48,0,106000,
25000,2,48875,2,2,2,1,35,17000,914000,
5000,1,76275,2,2,1,2,35,0,515750,
25000,1,128050,2,1,2,2,59,0,2293951,
67500,1,54475,2,2,2,1,59,0,1670500,
15500,1,53125,2,2,1,1,48,410000,2866150,
